file,emotion,dur,F1,F2,F3,F4,F5,F6,Mean_F0,F0_start,F0_end,Max_F0,Perc_Time_Max_F0,Min_F0,F0_abs_slope,F0_Var,Q25,Q50,Q75,Fpeak,AM_var,AM_rate,AM_extent,harmonicity,Formant_dispersal,Vocal_tract_length,Mean_wiener_entropy
ut_fear_61-f-scream,fear,0.491,1114.035,1360.16,1884.09,2709.048,3279.439,3997.17,370.029,355.59,440.6,446.755,85.683,147.233,1268.196,1061.774,1281.048,1541.561,2834.594,1306.062,78.74,17.313,4.548,8.69,761.99,22.966,-3.420
ut_fear_63-m-scream,fear,0.784,695.55,1235.301,2620.691,3438.834,4521.724,5586.226,303.485,267.03,168.2,414.252,36.135,151.989,1307.212,913.381,715.433,1228.461,3682.294,678.986,93.254,14.66,6.361,6.15,986.951,17.731,-2.666
ut_fear_64-f-scream,fear,0.53,1010.112,1609.683,2812.657,3397.839,4802.063,6154.635,219.311,106.41,115.37,352.25,26.078,106.415,1402.627,846.267,1409.558,1751.849,2544.561,1562.755,58.181,18.854,3.086,1.74,801.816,21.825,-2.174
ut_fear_66-f-scream,fear,0.432,1063.641,2049.392,3402.348,3951.752,4220.745,5622.254,332.348,337.38,153.61,459.015,24.32,153.609,1186.037,951.107,1549.762,1994.255,2443.392,2080.153,95.181,12.722,7.482,11.25,473.409,36.966,-5.310
ut_laugh-amused_02-f,amusement,5.881,678.71,1177.176,1815.671,2771.384,3700.665,4659.737,301.728,137.44,410.1,476.117,96.307,99.449,772.692,766.79,663.688,1039.629,1996.418,655.247,168.844,13.604,12.412,3.29,1009.47,17.336,-1.940
ut_laugh-amused_05-f,amusement,1.341,573.697,1082.537,1707.991,3146.357,3886.611,4666.447,271.299,146.76,143.99,434.421,83.419,143.99,623.333,579.879,554.641,966.224,1281.307,1066.979,209.771,7.827,26.8,10.67,1052.175,16.632,-2.388
ut_laugh-amused_06-f,amusement,2.691,1006.062,1408.132,2427.884,3126.616,3704.393,6432.589,363.129,398.27,257.58,480.524,60.129,107.268,582.694,560.396,1279.158,1550.292,2185.708,1328.409,148.005,15.236,9.714,5.92,796.907,21.96,-2.524
ut_laugh-amused_09-f,amusement,2.597,666.093,1710.453,3049.094,3973.251,4955.572,6914.457,368.676,338.34,136.04,490.919,39.526,129.156,515.276,508.934,436.776,708.928,1132.695,394.029,196.073,13.479,14.547,8.82,1100.835,15.897,-1.534
ut_laugh-amused_12-m,amusement,1.851,876.921,1696.02,2687.91,3660.982,4834.513,5728.075,339.407,343.29,120.94,460.124,54.968,120.94,943.558,675.677,1059.551,1675.063,2445.17,918.982,161.946,12.968,12.488,3.31,951.287,18.396,-2.140
ut_laugh-amused_13-m,amusement,1.327,579.977,1241.008,2663.485,4150.17,5056.051,6124.725,174.342,169.43,195.66,225.483,37.964,105.562,374.225,332.177,562.419,1277.681,2676.762,448.62,213.017,13.185,16.156,2.39,988.212,17.709,-1.539
